f1(100,340,110,340,110,370,100,370,3,0)
c1(100,340,100,370,110,370,110,340,40,0)
f2(110,340,120,340,120,370,110,370,6,0)
c2(110,340,110,370,120,370,120,340,40,0)
f3(120,340,130,350,130,370,120,370,9,0)
c3(120,340,120,370,130,370,130,350,40,0)
f4(130,350,140,350,140,370,130,370,12,0)
c4(130,350,130,370,140,370,140,350,40,0)
f5(140,350,150,340,160,390,140,370,15,0)
c5(140,350,140,370,160,390,150,340,40,0)
f6(150,340,190,340,190,390,160,390,18,0)
c6(150,340,160,390,190,390,190,340,40,0)
f7(70,390,100,340,100,370,70,440,0,0)
c7(70,390,70,440,100,370,100,340,40,0)
f8(100,370,110,370,110,450,70,440,0,0)
c8(100,370,70,440,110,450,110,370,40,0)
f9(110,370,120,370,120,452,110,450,0,0)
c9(110,370,110,450,120,452,120,370,40,0)
f10(120,370,130,370,130,454,120,452,0,0)
c10(120,370,120,452,130,454,130,370,40,0)
f11(130,370,140,370,150,455,130,454,0,0)
c11(130,370,130,454,150,455,140,370,40,0)
f12(140,370,160,390,200,460,150,455,0,0)
c12(140,370,150,455,200,460,160,390,40,0)
f13(160,390,190,390,250,430,200,460,0,0)
c13(160,390,200,460,250,430,190,390,40,0)
f14(190,390,230,390,260,390,250,430,0,0)
c14(190,390,250,430,260,390,230,390,40,0)
f15(190,340,220,350,230,390,190,390,0,0)
c15(190,340,190,390,230,390,220,350,40,0)
f16(240,340,260,340,255,390,230,390,-3,0)
c16(240,340,230,390,255,390,260,340,34,0)
f17(230,300,240,260,260,340,240,340,-6,0)
c17(230,300,240,340,260,340,240,260,28,0)
f18(220,260,240,260,230,300,210,280,-9,0)
c18(220,260,210,280,230,300,240,260,22,0)
f19(200,210,220,260,210,280,160,280,-12,0)
c19(200,210,160,280,210,280,220,260,16,0)
f20(80,160,200,210,160,280,70,250,-15,0)
c20(80,160,70,250,160,280,200,210,40,0)
p(100,410,0)
